key|description
ABS Auto|Asset Backed Security (backed by AUTO loans)
ABS Card|Asset Backed Security (backed by Other less common loans and receivables) i.e. Charge accounts, Reference Notes, etc.
ABS Home|Asset Backed Security (backed by Other less common loans and receivables) i.e. Charge accounts, Reference Notes, etc.
ABS Other|Asset Backed Security (backed by Home Equity loans)
ACCEPT BANCARIA|Mexico Bankers Acceptances
ADJ CONV. TO FIXED|These are bonds that had been adjustable, but were remarketed as Fixed interest rate bonds, and the coupon rate will no longer be subject to change.
ADJ CONV. TO FIXED, OID|These are bonds that had been adjustable, but were remarketed as Fixed interest rate bonds, and the coupon rate will no longer be subject to change. The security is an Original Issue Discount.
ADJUSTABLE|The rate changes throughout the life of the bond. This includes variables and step-coupons.
ADJUSTABLE, OID|The rate changes throughout the life of the bond. The security is an Original Issue Discount.
ADR|A negotiable certificate issued by a U.S. bank representing a specified number of shares (or one share) in a foreign stock that is traded on a U.S. exchange. ADRs are denominated in U.S. dollars, with the underlying security held by a U.S. financial institution overseas. ADRs help to reduce administration and duty costs that would otherwise be levied on each transaction.
Agncy ABS Home|Asset Backed Loans issued by an Agency such as SBA
Agncy ABS Other|Asset Backed Loans issued by an Agency such as SBA
Agncy CMBS|Agency Commercial Mortgage security (ie GNR ticker)
Agncy CMO FLT|Agency Floater
Agncy CMO INV|Agency CMO Inverse Floating Rate security, Fannie Mae, Freddie Mac, Ginnie Mae
Agncy CMO IO|Collateralized Mortgage Obligation (CMO). A security which pools together mortgages and separates them into short-, medium-, and long-term positions (called tranches). Tranches are set up to pay different rates of interest depending upon their maturity.
Agncy CMO Other|Agency CMO Other(Less common type of security such as PAC or Sequential) Fannie Mae, Freddie Mac, Ginnie Mae
Agncy CMO PO|Agency collateralized Mortgage Obligations - Principal only
Agncy CMO Z|Agency CMO Z (Accrual Bond), Fannie Mae, Freddie Mac, Ginnie Mae
Asset-Based|A financial security backed by a loan, lease or receivables against assets other than real estate and mortgage-backed securities.
ASSET-BASED BRIDGE|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets.
ASSET-BASED BRIDGE REV|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Once borrowed funds are repaid they can be borrowed again.
ASSET-BASED DIP|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Issued when a company is in bankruptcy
ASSET-BASED DIP REV|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Issued when a company is in bankruptcy. Once borrowed funds are repaid they can be borrowed again.
ASSET-BASED DIP TERM|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Issued when a company is in bankruptcy. Once borrowed, cannot be re-borrowed.
ASSET-BASED LOC|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Guaranteed by the lender(s) and used for purchase of goods, completion of construction projects, and/or general purposes.
ASSET-BASED REV|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Once borrowed funds are repaid they can be borrowed again.
ASSET-BASED TERM|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Once borrowed, cannot be re-borrowed.
AUSTRALIAN|Market issue type where the issue is an Australian issuer issuing in AUD into the Australian domestic mkt.
AUSTRALIAN CD|Certificate of Deposit (CD). A debt instrument issued by a bank that will pay interest, periodically or at maturity (set by competitive forces in the marketplace), and principal when it reaches maturity. Maturities range from a few weeks to several years. It may have a fixed or floating rate of interest. Certificate of Deposit Rollover. An investment strategy used to defer taxes on income from a Certificate of Deposit. An individual who has purchased a certificate of deposit on margin expected to mature in the following year, can deduct the interest on the loan in the current year and move the income from the certificate to the up-coming year.
AUSTRALIAN CP|Commercial Paper. An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security. Commercial Paper House. A dealer who buys commercial paper at one price, then tries to sell it at another.
Austrian Crt|Austrian Certificate: Depositary Receipt issued in Austria,
BANK ACCEPT BILL|Banker's Acceptance. A draft drawn and accepted by banks that is based upon funds that will pay its face value at maturity. The security is traded at a discount. Because the accepting institution is obligated to pay for the bill, a banker's acceptance is considered less risky than commercial paper. Bloomberg abbreviates bankers acceptance as BA.
BANK BILL|A bank bill is a short-term money market investment of which the acceptor and/or endorser is a bank.
BANK NOTE|Banker's Acceptance. A draft drawn and accepted by banks that is based upon funds that will pay its face value at maturity. The security is traded at a discount. Because the accepting institution is obligated to pay for the bill, a banker's acceptance is considered less risky than commercial paper. Bloomberg abbreviates bankers acceptance as BA.
BANKERS ACCEPT|Bankers Acceptances - a draft or bill of exchange drawn on a bank and accepted by it
BANKERS ACCEPTANCE|A draft drawn and accepted by banks that is based upon funds that will pay its face value at maturity. The security is traded at a discount.
BASIS SWAP|Exchange of different floating indices in the same currency
Basket WRT|A warrant over a group of securities, often within a sector.
BDR|Brazilian Depositary Receipt: These are certificates that represent the stocks from a foreign company and that are issued in Brazil by a local financial institution based on the amount of shares the institution holds.
BEARER DEP NOTE|Bearer Security. A negotiable security owned by the holder who is not registered upon the issuers books. Title to bearer securities is transferred by delivery.
Belgium Cert|Belgium Certificate: Depositary Receipts issued in Belgium.
BELGIUM CP|Belgium Domestic Commercial Paper - An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security. Commercial Paper House. A dealer who buys commercial paper at one price, then tries to sell it at another
BILL OF EXCHANGE|Bill of Exchange. A short-term debt, the collateral for which is either a commodity or another product in the midst of transit. Papers that require the addressee to pay the bearer or anotherr person on demand.
